-0.91658,1.0366,11.159,10.66,4.435,-5.5872,-2.5815,0.14291
-0.93277,-0.46878,9.8753,7.7354,4.4984,-5.592,-2.3951,-0.26818
-0.92335,-2.9051,6.109,2.668,4.536,-5.6293,-2.1798,0.13296
-0.92274,-4.2755,4.008,-1.1747,4.5309,-5.624,-2.0132,-0.14987
-0.93308,-2.0017,4.7256,-4.8317,4.5741,-5.5437,-1.8346,-0.013993
-0.91938,1.5352,5.1465,-5.0655,4.4519,-5.6328,-1.8573,0.054348
-0.92829,5.5681,5.2911,-2.0048,4.5222,-5.5022,-1.6752,-0.19059
-0.92742,7.2195,2.1107,0.21376,4.3704,-5.6107,-1.7501,0.21189
-0.9199,6.3108,0.17258,2.3825,4.3841,-5.4093,-1.7447,-0.30381
-0.93344,4.654,-2.5107,3.0053,4.2355,-5.4197,-1.9424,0.28809
-0.92093,3.4857,-2.1842,-0.50707,4.1874,-5.259,-2.0715,-0.23474
-0.9258,4.3665,-1.7202,-5.1979,4.1431,-5.1883,-2.1676,0.14642
-0.92977,4.6772,-1.373,-7.7962,4.0136,-5.1714,-2.3455,-0.048114
-0.91864,5.2377,-0.75586,-10.259,4.0355,-4.96,-2.2779,-0.083672
-0.93164,3.7901,-1.6116,-10.851,3.884,-4.9142,-2.2741,0.19144
-0.9238,3.526,-2.7269,-9.6,3.8937,-4.6337,-2.0446,-0.27129
-0.92255,2.7325,-3.5977,-7.9084,3.7677,-4.5759,-1.9577,0.35981
-0.93098,2.5113,-2.1543,-4.9147,3.7146,-4.4362,-1.7944,-0.32335
-0.91811,2.711,-0.39258,-0.10415,3.5867,-4.4136,-1.6774,0.31403
-0.9309,2.3978,0.66399,3.2857,3.4924,-4.3385,-1.5119,-0.17516
-0.92588,1.8843,0.08214,5.2375,3.4476,-4.1575,-1.2892,0.10952
-0.91919,0.29153,-1.3043,5.2946,3.2925,-4.0515,-1.1305,0.09801
-0.93276,0.072996,0.083219,2.4735,3.2775,-3.7311,-0.81958,-0.15927
-0.91984,-0.73571,2.3555,-1.8546,3.0748,-3.6604,-0.70389,0.32995
-0.92928,0.012585,5.0976,-5.9768,3.0095,-3.3706,-0.48176,-0.32703
-0.9271,-0.18126,5.2331,-9.2433,2.7739,-3.2509,-0.49244,0.36872
-0.91937,-0.63676,4.9395,-9.7523,2.6024,-2.9981,-0.50262,-0.28378
-0.93401,-1.1188,4.1985,-8.0697,2.4018,-2.7985,-0.57394,0.25304
-0.91857,-1.5969,5.2425,-7.184,2.1481,-2.669,-0.73314,-0.091631
-0.92927,-1.0571,6.387,-6.5707,1.9865,-2.42,-0.9079,0.050576
-0.9279,-1.6328,6.2732,-5.5189,1.6886,-2.4,-1.1901,0.1775
-0.92033,-1.116,7.3934,-2.1577,1.6093,-2.1047,-1.227,-0.20285
-0.93152,-0.77976,8.5238,3.2776,1.408,-2.0068,-1.3632,0.29327
-0.92297,0.093855,11.114,7.7833,1.324,-1.7779,-1.3554,-0.30206
-0.92522,1.3875,12.11,7.2961,1.1278,-1.7103,-1.3985,0.30147
-0.93252,2.4865,12.751,3.9671,0.98277,-1.5699,-1.3027,-0.23727
-0.9209,4.6888,12.894,0.71705,0.8338,-1.3908,-1.1657,0.1875
-0.92885,5.5786,12.683,5.3307,0.63544,-1.2485,-1.0492,-0.059918
-0.93002,7.7256,13.952,14.25,0.48244,-0.99219,-0.84123,-0.039693
-0.92565,8.2343,12.1,17.202,0.18527,-0.85772,-0.77536,0.20235
-0.93155,9.5553,8.4406,9.0412,0.086643,-0.51717,-0.50878,-0.23883
-0.92244,11.882,1.7736,-4.8488,-0.16122,-0.44559,-0.38249,0.33611
-0.92451,13.974,-1.0652,-12.135,-0.35117,-0.28655,-0.23363,-0.37599
-0.93039,13.667,-1.1436,-8.529,-0.56802,-0.14321,-0.10319,0.43735
-0.91973,12.563,0.56317,-9.9228,-0.75407,0.017602,0.16162,-0.26419
-0.92999,11.873,0.10099,-13.354,-0.9116,0.18467,0.55274,0.080998
-0.92287,14.464,0.37975,-17.129,-1.1115,0.31769,0.96615,-0.001483
-0.92409,17.859,0.10367,-15.997,-1.2636,0.4796,1.4085,-0.098883
-0.92703,15.799,-0.8706,-6.0241,-1.4896,0.57315,1.6577,0.22486
-0.92335,16.305,-0.94227,3.8997,-1.6382,0.74052,1.7825,-0.26927
-0.92344,18.58,0.56606,7.7078,-1.844,0.85869,1.6505,0.33083
-0.92857,18.954,1.5216,7.004,-1.9797,1.0097,1.4384,-0.31242
-0.92068,19.402,2.6373,7.6512,-2.1313,1.1295,1.0454,0.26341
-0.93053,18.767,2.4583,8.3898,-2.2822,1.2284,0.49066,-0.14505
-0.92175,16.317,-1.6731,6.7098,-2.3515,1.3619,0.04496,0.068294
-0.92565,17.621,-5.126,2.8374,-2.4396,1.4658,-0.15355,0.044905
-0.92829,20.845,-4.6991,-0.42682,-2.4574,1.6384,0.069479,-0.17258
-0.91999,17.541,-3.6559,-7.1082,-2.6025,1.7544,0.2887,0.24664
-0.92888,12.869,-3.5664,-10.382,-2.684,1.8848,0.29717,-0.27339
-0.92449,10.41,-7.6831,-5.5306,-2.7879,1.9213,-0.052768,0.33905
-0.9208,9.9015,-8.3536,-4.3216,-2.777,1.9813,-0.51853,-0.25044
-0.93069,11.776,-10.032,-3.507,-2.7628,2.032,-0.99607,0.22447
-0.91865,12.902,-6.3419,-0.56055,-2.8091,2.0952,-1.2698,-0.033706
-0.92852,12.768,-4.0253,-2.5489,-2.8263,2.2334,-1.0304,-0.022657
-0.92368,7.9833,-5.742,-3.1952,-2.9509,2.327,-0.54646,0.15299
-0.92106,6.6476,-4.7718,-1.5802,-2.9691,2.4696,0.069408,-0.19835
-0.93213,7.4927,-6.6009,-1.0685,-3.0866,2.5397,0.51058,0.26743
-0.91724,7.3705,-7.8065,1.9426,-3.0912,2.6815,0.96882,-0.28276
-0.92872,6.8883,-7.6541,7.6806,-3.1674,2.7621,1.1726,0.28914
-0.92673,5.8755,-4.7762,9.9643,-3.2127,2.8239,1.273,-0.21339
-0.91772,5.7944,-3.2399,10.863,-3.2262,2.8793,1.4343,0.14306
-0.93204,6.3801,-2.753,11.761,-3.2943,2.8957,1.557,-0.018544
-0.91689,7.3607,-0.59076,10.783,-3.316,2.9731,1.7349,-0.08596
-0.92677,4.6543,-0.2602,10.232,-3.4414,3.0276,1.7691,0.17414
-0.92743,1.8272,1.9069,9.6803,-3.4543,3.1655,1.884,-0.23213
-0.91882,1.2478,4.1612,7.158,-3.5149,3.2361,2.0966,0.29897
-0.93166,3.2162,6.4022,4.2079,-3.4961,3.3171,2.4828,-0.28923
-0.91904,7.6899,7.3794,5.6154,-3.5411,3.3512,2.7453,0.21208
-0.92428,9.1587,7.3679,7.6786,-3.6097,3.3687,3.079,-0.20694
-0.92991,7.5481,8.1286,8.4747,-3.6352,3.4466,3.5043,0.095528
-0.91739,5.5991,5.8834,5.3831,-3.7144,3.4835,3.5384,0.027211
